Moyenne_Generale,Note_Maths,Note_Physique,Note_Francais,Filiere_Bac,Recommendation
11.04,13.7,13.93,8.23,PC,ENSA / ENSAM
10.58,14.46,14.18,15.46,SM-A,ENSA / ENSAM
13.23,8.64,15.66,8.99,Eco-Gestion,ENCG
15.06,18.66,19.45,13.42,PC,CPGE (Prépas)
12.58,10.7,15.89,11.84,PC,FST
16.5,8.18,11.87,10.53,Eco-Gestion,ENCG
14.59,9.86,10.39,11.28,Eco-Gestion,ENCG
10.0,18.23,9.39,14.32,Eco-Gestion,Faculté (Licence Fondamentale)
11.41,16.29,15.71,14.29,SM-B,ENSA / ENSAM
11.31,14.64,11.8,13.67,SVT,FST
14.44,12.18,10.58,10.26,SVT,FST
10.0,13.88,16.48,14.21,PC,ENSA / ENSAM
20.0,12.54,10.3,12.83,Eco-Gestion,ENCG
14.59,14.89,15.63,12.34,SM-A,ENSA / ENSAM
13.45,12.54,14.0,10.87,Eco-Gestion,ENCG
16.54,15.19,16.07,19.06,PC,CPGE (Prépas)
20.0,11.35,13.09,13.05,SVT,FST
15.61,13.22,13.96,15.64,SM-B,ENSA / ENSAM
15.85,10.7,4.34,12.91,Eco-Gestion,ENCG
13.39,8.72,11.4,17.65,SVT,FST
12.58,15.54,19.07,11.32,PC,ENSA / ENSAM
11.57,13.71,13.91,10.95,PC,ENSA / ENSAM
10.52,9.22,7.08,17.1,SVT,Faculté (Licence Fondamentale)
10.94,5.72,15.11,16.74,SVT,Faculté (Licence Fondamentale)
10.0,13.5,7.66,8.25,Eco-Gestion,Faculté (Licence Fondamentale)
12.77,14.9,16.25,13.01,SM-A,ENSA / ENSAM
10.0,8.87,14.44,18.05,Eco-Gestion,Faculté (Licence Fondamentale)
13.57,15.55,15.22,8.47,SM-B,ENSA / ENSAM
12.89,10.76,12.53,14.06,SVT,FST
13.44,14.98,14.45,11.66,SM-B,ENSA / ENSAM
11.43,15.44,15.85,7.1,SM-B,ENSA / ENSAM
20.0,15.85,15.7,11.29,SM-A,CPGE (Prépas)
17.08,10.56,9.65,11.56,Eco-Gestion,ENCG
10.0,14.01,16.26,6.7,PC,ENSA / ENSAM
13.7,17.31,14.42,18.8,SM-B,ENSA / ENSAM
11.18,13.62,13.27,12.39,SM-B,ENSA / ENSAM
10.0,16.83,11.1,10.51,SM-B,Faculté (Licence Fondamentale)
10.0,17.18,13.1,17.11,SM-B,ENSA / ENSAM
14.3,13.09,14.2,14.83,PC,ENSA / ENSAM
10.96,16.82,12.25,16.78,Eco-Gestion,Faculté (Licence Fondamentale)
15.9,19.35,13.16,15.82,SM-A,CPGE (Prépas)
15.98,12.95,15.85,12.79,SM-B,FST
17.12,15.73,14.52,14.71,SVT,CPGE (Prépas)
10.44,14.6,17.02,13.19,PC,ENSA / ENSAM
14.43,15.88,17.89,17.69,SM-A,CPGE (Prépas)
14.9,11.58,11.71,13.24,SVT,FST
11.58,7.16,9.99,17.8,SVT,FST
10.68,9.75,17.34,16.52,SVT,Faculté (Licence Fondamentale)
17.83,16.8,16.12,10.25,SM-B,Medecine / Pharmacie
13.68,11.2,15.32,11.16,Eco-Gestion,ENCG
14.91,18.12,12.25,9.41,SM-B,CPGE (Prépas)
10.53,17.7,10.96,11.38,SVT,Faculté (Licence Fondamentale)
10.0,18.73,17.49,15.76,SM-A,ENSA / ENSAM
11.29,14.86,14.43,13.93,SM-B,ENSA / ENSAM
12.63,17.39,13.98,13.51,SM-A,ENSA / ENSAM
10.0,16.53,17.57,15.26,SM-B,ENSA / ENSAM
12.97,7.48,10.36,10.21,Eco-Gestion,ENCG
10.0,13.7,13.77,13.3,Eco-Gestion,ENSA / ENSAM
10.0,15.46,15.14,13.63,SM-B,ENSA / ENSAM
15.01,14.72,12.56,6.85,SM-B,FST
14.81,15.8,12.49,14.09,Eco-Gestion,CPGE (Prépas)
11.82,18.53,12.49,7.79,SM-A,FST
10.0,13.15,11.88,7.81,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,16.72,14.2,10.58,SM-B,ENSA / ENSAM
11.88,15.33,10.12,11.23,SM-A,FST
14.93,14.59,16.11,12.53,SM-B,ENSA / ENSAM
15.78,15.28,10.9,10.48,PC,CPGE (Prépas)
11.51,17.11,14.38,15.54,SM-B,ENSA / ENSAM
10.0,6.59,13.19,11.08,Eco-Gestion,Faculté (Licence Fondamentale)
13.8,9.79,13.97,16.49,SVT,FST
10.53,15.1,17.12,16.8,Eco-Gestion,ENSA / ENSAM
11.45,9.61,11.42,11.92,Eco-Gestion,FST
16.98,20.0,17.21,12.43,SM-A,Medecine / Pharmacie
15.48,15.76,13.54,13.75,PC,CPGE (Prépas)
13.47,14.12,11.62,15.35,SM-A,FST
10.0,17.82,15.91,12.45,SM-B,ENSA / ENSAM
13.63,8.2,7.52,10.09,SVT,FST
16.19,11.3,14.23,16.18,Eco-Gestion,ENCG
11.87,7.05,8.92,10.84,SVT,FST
17.05,4.41,12.7,12.26,SVT,FST
16.88,15.77,17.69,13.26,SM-B,Medecine / Pharmacie
17.99,15.14,16.14,16.18,SM-B,CPGE (Prépas)
13.92,12.89,13.07,12.56,SVT,FST
14.76,11.75,11.34,10.74,Eco-Gestion,ENCG
17.24,14.86,17.76,19.02,SM-B,Medecine / Pharmacie
14.34,16.78,7.03,8.74,Eco-Gestion,CPGE (Prépas)
11.5,13.62,15.27,4.57,SM-B,ENSA / ENSAM
11.65,10.23,15.22,15.95,Eco-Gestion,FST
13.72,10.47,9.7,14.7,Eco-Gestion,ENCG
10.0,15.87,14.93,12.3,PC,ENSA / ENSAM
12.57,14.87,12.34,12.34,SM-B,FST
16.29,13.41,13.48,14.94,PC,ENSA / ENSAM
10.0,13.45,13.09,10.7,SVT,ENSA / ENSAM
17.6,6.05,12.4,11.01,Eco-Gestion,ENCG
16.37,9.33,7.23,12.17,Eco-Gestion,ENCG
11.62,19.15,13.99,9.73,SM-A,ENSA / ENSAM
14.63,17.3,15.35,6.64,SM-B,CPGE (Prépas)
13.01,13.99,17.39,5.2,SVT,ENSA / ENSAM
16.69,8.29,2.45,12.77,SVT,FST
15.95,17.98,15.21,17.18,SM-B,CPGE (Prépas)
10.0,17.66,18.4,16.48,SM-A,ENSA / ENSAM
14.76,15.19,15.13,10.39,SM-A,CPGE (Prépas)
12.38,15.54,15.12,12.75,SM-B,ENSA / ENSAM
13.25,16.03,10.01,10.2,Eco-Gestion,ENCG
10.82,9.39,12.97,8.79,Eco-Gestion,Faculté (Licence Fondamentale)
18.24,11.4,14.98,13.88,SVT,FST
16.12,15.85,14.93,9.91,SM-B,CPGE (Prépas)
10.78,9.43,10.41,13.81,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,17.9,15.19,17.06,SM-A,ENSA / ENSAM
11.84,19.21,16.59,16.67,SM-B,ENSA / ENSAM
14.3,9.03,7.55,14.55,SVT,FST
13.72,7.98,10.13,15.31,Eco-Gestion,ENCG
16.76,16.24,10.24,11.05,Eco-Gestion,CPGE (Prépas)
15.37,16.64,12.85,12.48,SM-A,CPGE (Prépas)
15.91,11.98,10.92,13.27,Eco-Gestion,ENCG
13.98,9.5,8.82,10.76,Eco-Gestion,ENCG
10.0,12.76,15.68,15.68,SM-A,Faculté (Licence Fondamentale)
12.41,17.59,14.48,10.57,SM-A,ENSA / ENSAM
16.18,14.23,12.92,13.65,SVT,FST
12.85,19.49,14.95,12.23,SM-B,ENSA / ENSAM
14.51,10.8,6.32,14.98,Eco-Gestion,ENCG
12.04,11.68,12.53,18.53,Eco-Gestion,ENCG
10.0,15.22,10.32,14.44,SM-A,Faculté (Licence Fondamentale)
12.63,12.5,8.8,14.19,SVT,FST
13.93,14.36,8.16,12.1,Eco-Gestion,ENCG
11.03,16.43,8.84,13.2,SVT,FST
12.29,8.75,13.04,13.47,PC,FST
10.18,18.46,12.28,13.22,SM-A,Faculté (Licence Fondamentale)
16.36,10.87,13.86,9.35,Eco-Gestion,ENCG
12.12,13.29,9.04,13.67,SVT,FST
17.36,16.14,14.5,14.43,SM-B,CPGE (Prépas)
17.59,12.13,10.6,11.93,SVT,FST
12.76,12.23,11.67,10.03,SVT,FST
10.0,13.3,13.89,12.88,PC,ENSA / ENSAM
10.0,10.22,13.31,15.02,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,9.23,10.99,14.92,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,15.65,13.54,9.72,SM-A,ENSA / ENSAM
17.14,14.56,13.71,12.38,SVT,ENSA / ENSAM
13.35,17.53,9.07,16.98,SM-B,FST
14.17,13.69,16.28,12.04,PC,ENSA / ENSAM
10.0,16.19,7.82,17.42,SVT,Faculté (Licence Fondamentale)
10.0,16.79,16.25,12.01,SM-B,ENSA / ENSAM
15.66,13.38,16.86,13.93,SM-A,ENSA / ENSAM
13.86,16.72,15.61,11.74,PC,ENSA / ENSAM
12.56,16.16,16.74,13.03,Eco-Gestion,ENSA / ENSAM
14.69,9.74,13.43,12.24,Eco-Gestion,ENCG
17.91,13.8,10.22,17.69,SVT,FST
12.34,12.6,16.96,11.53,PC,FST
13.21,15.44,14.18,15.22,SM-B,ENSA / ENSAM
13.58,17.84,16.12,12.68,SM-A,ENSA / ENSAM
20.0,16.28,16.8,15.79,SM-A,Medecine / Pharmacie
10.0,3.93,10.18,12.33,Eco-Gestion,Faculté (Licence Fondamentale)
15.05,14.01,10.8,15.16,Eco-Gestion,ENCG
12.66,13.84,15.52,15.7,SM-A,ENSA / ENSAM
14.7,7.58,18.54,16.57,Eco-Gestion,ENCG
11.03,16.0,13.34,12.47,SM-A,ENSA / ENSAM
12.85,12.25,12.32,17.5,SVT,FST
15.13,15.05,16.13,9.12,SM-B,CPGE (Prépas)
20.0,13.17,16.75,15.07,PC,ENSA / ENSAM
15.42,9.74,9.68,17.38,SVT,FST
10.46,16.32,16.42,6.29,PC,ENSA / ENSAM
11.73,20.0,14.96,12.06,SM-A,ENSA / ENSAM
11.64,14.96,15.75,14.16,SM-B,ENSA / ENSAM
10.0,14.85,8.22,12.06,SVT,Faculté (Licence Fondamentale)
12.01,18.09,11.67,12.48,Eco-Gestion,ENCG
15.2,12.12,17.01,16.09,PC,FST
10.0,15.75,15.48,14.08,PC,ENSA / ENSAM
16.15,17.01,14.21,10.65,Eco-Gestion,CPGE (Prépas)
14.46,4.36,11.89,15.4,SVT,FST
10.8,8.73,10.97,12.21,Eco-Gestion,Faculté (Licence Fondamentale)
12.58,14.21,14.91,16.87,PC,ENSA / ENSAM
17.79,12.44,8.36,15.75,Eco-Gestion,ENCG
15.2,11.47,18.57,15.97,PC,FST
13.03,16.17,10.53,11.51,SVT,FST
12.29,16.17,14.83,11.04,SM-B,ENSA / ENSAM
13.23,10.34,9.9,9.49,SVT,FST
11.46,14.03,10.84,12.07,Eco-Gestion,FST
10.0,8.67,7.52,18.81,Eco-Gestion,Faculté (Licence Fondamentale)
19.13,10.12,12.83,13.49,SVT,FST
13.47,10.45,18.58,15.05,SM-B,FST
14.19,12.46,15.94,9.55,PC,FST
12.83,17.48,8.28,11.43,Eco-Gestion,ENCG
10.79,9.81,11.24,17.11,Eco-Gestion,Faculté (Licence Fondamentale)
12.44,17.37,9.8,14.13,SVT,FST
10.0,14.16,14.04,20.0,PC,ENSA / ENSAM
19.83,16.73,16.38,17.75,PC,Medecine / Pharmacie
10.0,15.64,11.25,13.98,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,17.02,14.11,18.02,PC,ENSA / ENSAM
11.68,11.32,15.57,12.98,SVT,FST
16.86,16.68,14.93,11.4,SM-B,CPGE (Prépas)
13.04,15.46,17.76,6.06,SM-A,ENSA / ENSAM
10.0,13.52,13.55,9.76,SM-B,ENSA / ENSAM
16.76,16.53,14.77,14.78,SVT,CPGE (Prépas)
15.19,14.72,17.67,8.24,SM-B,ENSA / ENSAM
14.62,20.0,13.63,12.21,SM-A,CPGE (Prépas)
15.15,15.14,12.85,18.78,SM-B,CPGE (Prépas)
20.0,14.37,14.65,9.33,Eco-Gestion,ENSA / ENSAM
19.56,12.54,12.56,13.81,SVT,FST
10.94,11.68,18.15,13.36,PC,Faculté (Licence Fondamentale)
17.87,9.14,5.43,14.82,Eco-Gestion,ENCG
14.15,19.35,7.95,13.51,Eco-Gestion,CPGE (Prépas)
14.5,18.22,12.46,11.56,SM-A,CPGE (Prépas)
10.0,14.28,16.97,16.98,SM-B,ENSA / ENSAM
12.49,12.48,8.47,11.67,SVT,FST
10.56,14.74,13.05,12.69,SM-A,ENSA / ENSAM
15.48,17.15,15.98,12.98,SM-A,CPGE (Prépas)
16.21,16.11,14.84,9.11,SM-B,CPGE (Prépas)
10.0,12.48,9.25,8.96,SVT,Faculté (Licence Fondamentale)
12.93,13.11,9.16,13.68,Eco-Gestion,ENCG
16.37,14.54,8.15,13.28,SVT,FST
12.44,12.38,18.07,8.92,SM-A,FST
15.19,14.97,17.68,12.3,SM-A,ENSA / ENSAM
14.05,11.61,17.43,15.07,PC,FST
14.02,14.73,13.95,11.69,SM-B,ENSA / ENSAM
12.19,13.59,12.21,12.46,PC,FST
10.0,19.57,13.21,11.25,SM-A,ENSA / ENSAM
10.0,8.45,12.84,16.61,Eco-Gestion,Faculté (Licence Fondamentale)
15.13,18.36,12.5,14.5,SM-A,CPGE (Prépas)
13.06,16.3,12.53,14.44,SVT,FST
12.58,10.59,11.66,16.71,SVT,FST
11.73,12.98,7.26,11.63,Eco-Gestion,FST
12.08,15.63,11.97,13.36,Eco-Gestion,ENCG
16.14,12.89,18.38,17.99,PC,FST
11.99,15.79,15.33,11.92,Eco-Gestion,ENSA / ENSAM
10.0,15.0,14.69,13.12,SM-A,ENSA / ENSAM
15.23,18.86,17.33,14.62,SM-B,CPGE (Prépas)
12.39,7.71,5.94,13.72,SVT,FST
13.09,14.64,10.76,18.74,SVT,FST
17.82,13.84,12.58,11.01,SM-A,FST
12.94,14.6,16.05,11.73,SM-B,ENSA / ENSAM
13.87,7.36,13.67,7.72,Eco-Gestion,ENCG
10.0,11.86,12.75,13.62,PC,Faculté (Licence Fondamentale)
12.34,16.37,18.83,15.74,SM-B,ENSA / ENSAM
14.83,18.88,15.58,10.07,SM-A,CPGE (Prépas)
10.0,12.38,12.78,15.11,Eco-Gestion,Faculté (Licence Fondamentale)
13.6,10.58,12.47,10.2,Eco-Gestion,ENCG
13.3,8.87,7.65,13.07,Eco-Gestion,ENCG
13.12,13.64,14.15,15.71,SM-B,ENSA / ENSAM
16.11,8.91,9.49,13.21,Eco-Gestion,ENCG
14.0,16.49,14.0,15.36,SM-B,ENSA / ENSAM
17.43,17.18,17.28,12.76,SM-A,Medecine / Pharmacie
10.02,12.97,14.63,13.92,PC,Faculté (Licence Fondamentale)
13.41,15.25,13.86,11.66,SM-B,ENSA / ENSAM
13.25,14.63,15.4,8.76,SM-A,ENSA / ENSAM
10.0,16.61,16.35,11.26,SM-B,ENSA / ENSAM
15.87,19.84,15.04,8.32,SM-A,CPGE (Prépas)
19.97,13.44,16.13,14.35,PC,ENSA / ENSAM
12.95,11.23,7.97,9.72,SVT,FST
14.52,12.69,14.88,9.6,PC,FST
13.25,9.8,12.98,17.95,SVT,FST
10.86,14.27,14.92,15.92,SVT,ENSA / ENSAM
10.0,14.5,9.99,13.42,Eco-Gestion,Faculté (Licence Fondamentale)
10.88,15.16,14.56,13.2,SM-B,ENSA / ENSAM
10.0,14.14,12.27,12.51,Eco-Gestion,Faculté (Licence Fondamentale)
18.11,16.11,15.87,15.0,SM-A,CPGE (Prépas)
12.65,12.96,12.85,16.32,SM-A,FST
11.96,15.88,14.15,12.21,SM-A,ENSA / ENSAM
15.67,11.21,12.67,9.68,Eco-Gestion,ENCG
10.0,14.05,16.49,14.19,PC,ENSA / ENSAM
10.7,12.67,12.55,11.28,Eco-Gestion,Faculté (Licence Fondamentale)
13.2,9.17,18.37,12.1,Eco-Gestion,ENCG
16.09,13.63,17.36,17.79,PC,ENSA / ENSAM
14.51,12.91,14.0,9.27,PC,FST
13.74,17.19,13.92,12.92,PC,ENSA / ENSAM
13.23,14.05,12.1,12.12,SM-B,FST
14.2,9.19,8.93,19.02,Eco-Gestion,ENCG
13.6,16.85,16.86,15.47,SM-B,ENSA / ENSAM
10.0,11.7,9.68,13.75,SVT,Faculté (Licence Fondamentale)
13.14,12.51,9.29,13.39,SVT,FST
10.0,9.88,10.49,11.99,Eco-Gestion,Faculté (Licence Fondamentale)
13.24,13.46,10.3,10.18,SM-A,FST
11.56,17.61,15.38,15.33,PC,ENSA / ENSAM
20.0,11.75,12.98,8.94,SM-B,FST
12.88,11.39,18.27,14.38,SVT,FST
10.0,17.09,10.24,17.09,Eco-Gestion,Faculté (Licence Fondamentale)
12.6,20.0,14.78,11.38,SM-A,ENSA / ENSAM
14.56,8.05,10.07,13.25,Eco-Gestion,ENCG
18.02,20.0,12.41,13.18,SM-A,Medecine / Pharmacie
11.23,6.56,9.72,13.93,Eco-Gestion,FST
10.0,15.03,17.18,14.19,PC,ENSA / ENSAM
15.45,15.16,16.09,9.86,PC,CPGE (Prépas)
10.0,12.3,13.91,12.6,SM-A,Faculté (Licence Fondamentale)
11.69,15.76,10.7,12.41,Eco-Gestion,FST
12.23,14.77,15.46,15.43,PC,ENSA / ENSAM
12.79,17.94,17.57,13.29,Eco-Gestion,ENSA / ENSAM
15.07,13.01,15.74,12.55,Eco-Gestion,ENSA / ENSAM
10.95,15.36,13.73,12.07,PC,ENSA / ENSAM
12.18,15.47,8.85,12.62,SVT,FST
12.96,7.28,17.02,16.79,SVT,FST
13.45,12.56,12.52,14.19,Eco-Gestion,ENCG
13.29,16.15,9.44,15.2,SVT,FST
14.31,18.15,17.43,6.22,SM-B,CPGE (Prépas)
15.53,12.8,13.96,13.45,PC,FST
14.18,5.95,4.86,19.51,SVT,FST
14.36,13.85,11.36,14.09,SVT,FST
10.0,12.44,13.99,11.1,Eco-Gestion,Faculté (Licence Fondamentale)
13.15,16.37,15.45,9.86,SM-A,ENSA / ENSAM
14.44,15.83,9.66,16.05,SVT,CPGE (Prépas)
15.19,16.23,18.27,9.88,SM-A,CPGE (Prépas)
10.92,11.83,14.19,13.4,PC,Faculté (Licence Fondamentale)
11.02,19.08,18.19,6.07,SM-A,ENSA / ENSAM
11.28,12.75,1.36,15.39,SVT,FST
14.61,18.24,14.92,13.25,SM-B,CPGE (Prépas)
16.1,16.15,13.43,14.3,SM-B,CPGE (Prépas)
11.78,13.54,17.86,12.66,PC,ENSA / ENSAM
15.72,9.42,6.39,7.41,SVT,FST
13.37,16.63,15.08,14.02,PC,ENSA / ENSAM
12.63,17.35,9.31,11.12,Eco-Gestion,ENCG
12.37,11.6,11.09,18.66,Eco-Gestion,ENCG
15.24,19.13,16.24,17.35,SM-A,CPGE (Prépas)
13.98,13.64,16.6,12.1,PC,ENSA / ENSAM
19.83,13.42,17.41,14.6,SM-B,ENSA / ENSAM
10.44,14.04,16.0,8.48,PC,ENSA / ENSAM
14.55,14.05,15.67,11.41,SM-A,ENSA / ENSAM
11.41,11.35,10.69,10.95,SVT,FST
10.39,12.06,12.78,12.56,PC,Faculté (Licence Fondamentale)
12.97,17.24,11.71,12.93,SM-A,FST
13.41,12.84,8.03,17.27,Eco-Gestion,ENCG
20.0,15.23,14.8,12.52,SM-B,CPGE (Prépas)
12.45,6.69,14.03,10.13,SVT,FST
10.0,13.53,17.2,17.38,PC,ENSA / ENSAM
13.82,11.84,15.11,17.15,PC,FST
10.0,16.93,16.34,9.85,SM-B,ENSA / ENSAM
12.72,10.86,10.5,10.43,Eco-Gestion,ENCG
13.05,10.65,14.98,17.06,PC,FST
15.38,16.12,17.75,13.54,SM-B,CPGE (Prépas)
15.92,14.47,17.56,13.64,SM-B,ENSA / ENSAM
11.49,14.89,7.8,16.12,SVT,FST
12.55,18.14,15.58,10.58,SM-B,ENSA / ENSAM
10.7,15.91,16.22,13.7,SM-B,ENSA / ENSAM
10.0,17.2,17.02,11.05,SM-B,ENSA / ENSAM
13.93,11.69,15.92,12.01,PC,FST
10.0,17.57,12.85,16.06,SM-B,Faculté (Licence Fondamentale)
11.76,18.71,15.0,13.18,SM-B,ENSA / ENSAM
10.01,14.46,13.91,11.77,SM-B,ENSA / ENSAM
14.65,18.89,14.86,9.03,SM-B,CPGE (Prépas)
18.4,12.77,13.48,12.92,Eco-Gestion,ENCG
10.0,16.94,17.56,9.85,PC,ENSA / ENSAM
10.0,14.9,15.45,8.0,SM-B,ENSA / ENSAM
12.63,16.67,11.48,16.07,SM-A,FST
13.05,17.81,16.01,10.97,SM-A,ENSA / ENSAM
13.66,16.34,13.97,9.91,SM-A,ENSA / ENSAM
11.66,10.98,13.09,13.13,SVT,FST
12.4,16.35,13.3,14.98,Eco-Gestion,ENSA / ENSAM
14.1,12.78,14.43,9.81,SM-A,FST
16.12,11.45,8.92,11.87,Eco-Gestion,ENCG
10.0,18.12,15.95,16.02,SM-A,ENSA / ENSAM
11.89,7.2,11.17,15.9,SVT,FST
13.64,17.01,12.9,11.95,PC,FST
10.25,15.1,10.42,10.27,Eco-Gestion,Faculté (Licence Fondamentale)
18.19,10.9,14.1,7.93,PC,FST
11.09,12.18,13.69,9.22,SVT,FST
12.88,12.77,13.54,12.99,Eco-Gestion,ENCG
14.67,10.78,16.77,12.84,PC,FST
11.23,11.53,9.36,13.26,SVT,FST
10.0,17.02,19.78,13.34,SM-B,ENSA / ENSAM
11.71,16.53,12.07,12.7,Eco-Gestion,FST
16.09,14.3,13.56,13.92,PC,ENSA / ENSAM
11.99,6.02,8.41,13.33,SVT,FST
10.46,18.39,17.86,12.29,SM-B,ENSA / ENSAM
15.78,12.47,13.95,9.01,Eco-Gestion,ENCG
12.01,16.81,13.34,12.48,SM-B,ENSA / ENSAM
11.47,15.08,15.87,14.65,SM-A,ENSA / ENSAM
13.45,14.67,12.04,13.51,Eco-Gestion,ENCG
15.31,17.56,6.43,18.09,SVT,CPGE (Prépas)
20.0,11.13,12.71,12.02,SVT,FST
15.48,9.89,12.45,16.13,Eco-Gestion,ENCG
16.48,16.95,13.92,20.0,SM-A,CPGE (Prépas)
11.48,15.6,13.8,11.94,Eco-Gestion,ENSA / ENSAM
10.0,12.75,15.44,16.24,PC,Faculté (Licence Fondamentale)
13.19,9.03,7.8,14.62,SVT,FST
13.32,16.64,13.46,9.73,SM-B,ENSA / ENSAM
10.0,16.31,12.07,8.91,SVT,Faculté (Licence Fondamentale)
12.47,13.41,14.28,15.2,SM-A,ENSA / ENSAM
14.2,13.79,14.4,8.53,Eco-Gestion,ENSA / ENSAM
14.08,12.67,15.28,17.0,SVT,FST
14.51,14.72,20.0,14.83,PC,ENSA / ENSAM
13.87,18.09,15.09,10.66,SM-A,ENSA / ENSAM
11.48,14.25,15.36,12.37,SM-A,ENSA / ENSAM
11.46,12.46,12.95,12.04,SM-B,FST
10.0,14.18,10.95,12.78,SVT,Faculté (Licence Fondamentale)
18.35,9.04,11.07,16.96,Eco-Gestion,ENCG
13.04,16.31,11.99,9.25,SM-A,FST
12.33,15.18,15.55,12.78,PC,ENSA / ENSAM
10.21,12.77,17.01,12.1,PC,Faculté (Licence Fondamentale)
20.0,11.44,8.45,15.77,Eco-Gestion,ENCG
10.0,13.56,17.22,9.42,PC,ENSA / ENSAM
11.71,19.47,17.55,7.27,SM-B,ENSA / ENSAM
14.25,9.59,12.43,9.04,Eco-Gestion,ENCG
14.8,13.74,16.85,12.45,PC,ENSA / ENSAM
15.87,17.08,13.61,6.27,SM-B,CPGE (Prépas)
18.42,15.96,17.95,20.0,PC,Medecine / Pharmacie
14.52,5.38,13.25,7.09,SVT,FST
10.0,17.27,12.46,10.14,Eco-Gestion,Faculté (Licence Fondamentale)
12.23,15.56,14.89,13.9,PC,ENSA / ENSAM
13.92,14.41,19.49,18.44,PC,ENSA / ENSAM
19.2,14.81,17.12,14.06,SM-B,ENSA / ENSAM
10.0,7.76,8.91,20.0,SVT,Faculté (Licence Fondamentale)
16.61,13.07,14.0,12.36,SVT,ENSA / ENSAM
13.54,14.92,15.05,12.2,SM-B,ENSA / ENSAM
15.51,7.52,7.99,15.12,SVT,FST
12.69,13.24,16.05,13.7,PC,ENSA / ENSAM
10.47,14.63,18.29,9.7,PC,ENSA / ENSAM
15.25,13.71,13.27,15.96,SVT,ENSA / ENSAM
14.96,11.17,16.51,18.15,PC,FST
15.92,11.7,12.45,15.34,SVT,FST
12.96,13.95,18.67,14.5,SM-B,ENSA / ENSAM
11.2,13.56,6.01,15.38,Eco-Gestion,FST
10.0,17.01,18.25,12.07,SM-B,ENSA / ENSAM
15.46,9.04,8.95,11.49,Eco-Gestion,ENCG
14.27,13.76,17.58,16.98,SM-B,ENSA / ENSAM
10.1,15.61,14.21,7.55,SM-A,ENSA / ENSAM
11.38,15.39,19.31,11.09,PC,ENSA / ENSAM
11.6,15.77,15.87,18.17,SM-B,ENSA / ENSAM
10.0,12.6,11.59,13.54,Eco-Gestion,Faculté (Licence Fondamentale)
10.55,7.72,6.66,10.58,SVT,Faculté (Licence Fondamentale)
10.0,15.04,9.99,11.41,SVT,Faculté (Licence Fondamentale)
11.76,14.91,14.72,18.11,SM-B,ENSA / ENSAM
10.78,15.7,13.43,13.08,SM-B,ENSA / ENSAM
10.0,19.51,13.99,9.46,SM-B,ENSA / ENSAM
19.07,10.5,11.39,15.06,SVT,FST
16.76,18.01,12.91,10.15,SM-A,CPGE (Prépas)
10.66,15.35,16.37,9.22,SM-B,ENSA / ENSAM
13.82,10.18,9.22,15.83,SVT,FST
14.25,13.58,13.71,17.02,SVT,ENSA / ENSAM
16.57,15.39,12.63,9.46,SM-B,CPGE (Prépas)
10.54,6.49,9.62,11.85,Eco-Gestion,Faculté (Licence Fondamentale)
16.28,14.36,11.05,11.53,Eco-Gestion,ENCG
11.36,13.77,13.92,16.08,PC,ENSA / ENSAM
10.0,9.64,7.58,15.45,SVT,Faculté (Licence Fondamentale)
15.17,15.15,12.55,15.57,PC,CPGE (Prépas)
16.87,12.52,15.25,13.56,PC,FST
20.0,13.76,12.34,12.85,Eco-Gestion,ENCG
10.0,10.73,12.24,12.64,Eco-Gestion,Faculté (Licence Fondamentale)
15.1,19.61,16.17,10.23,SM-A,CPGE (Prépas)
11.77,10.57,11.14,16.9,SVT,FST
15.35,18.82,14.21,10.2,SM-A,CPGE (Prépas)
10.0,13.88,15.5,19.91,SM-B,ENSA / ENSAM
10.0,17.08,11.81,10.82,SM-A,Faculté (Licence Fondamentale)
10.67,14.75,13.36,11.84,SM-B,ENSA / ENSAM
13.24,14.74,17.36,16.28,PC,ENSA / ENSAM
11.08,13.57,5.14,9.83,SVT,FST
14.98,15.68,15.29,15.58,SM-A,CPGE (Prépas)
16.08,12.13,11.15,13.71,SVT,FST
14.8,13.49,16.17,16.38,PC,ENSA / ENSAM
17.86,13.83,15.94,12.9,PC,ENSA / ENSAM
14.25,16.6,13.78,18.33,PC,CPGE (Prépas)
10.0,11.65,14.69,15.23,PC,Faculté (Licence Fondamentale)
17.09,15.09,6.79,9.72,Eco-Gestion,CPGE (Prépas)
11.18,12.83,18.03,16.74,Eco-Gestion,FST
15.73,13.5,11.16,13.24,PC,FST
17.72,14.72,15.23,10.45,PC,ENSA / ENSAM
14.37,16.32,13.12,18.62,SM-A,CPGE (Prépas)
10.0,16.55,12.97,13.27,SVT,Faculté (Licence Fondamentale)
10.25,14.68,14.96,17.92,SM-A,ENSA / ENSAM
16.97,15.74,16.41,15.77,PC,Medecine / Pharmacie
12.49,13.64,12.19,15.94,Eco-Gestion,ENCG
13.24,17.03,16.72,13.48,SM-B,ENSA / ENSAM
15.28,11.24,9.36,11.0,Eco-Gestion,ENCG
15.09,7.18,8.26,10.18,Eco-Gestion,ENCG
13.84,10.48,15.69,12.53,Eco-Gestion,ENCG
